,I'm addicted to heroin,I'm being forced to do something. I feel so uncomfortable. And I am shy. I get anxiety. I hate it!,you are an atrocious bot,,,,My boyfriend,I feel like I should have died,,,,I'm stuck in the house,,I'm barely managing,How can I stop myself from self-harming?,i sometimes go to bed hoping i don't wake up,im upset,I can't believe how worthless I am
,I'm addicted to smack,i feel like im just stressed and not doing enough work but then i wont have time to realx,you are a shit bot,,,,My husband,I think it would be better if I didn't exist,,,,I have no one to talk to,,Im not handling the stress in my life,I dont want to actually hurt myself.,I feel suicidal,i feel upset,I'm a failure
,I'm addicted to alcohol,Just amount of stress,you are a crap bot,,,,My girlfriend,I don't deserve affection,,,,It's hard to be alone,,,,I've come to feel suicidal,i am feeling upset,I feel like a failure
,,,you are such a bad bot,,,,My wife,Nobody likes me,,,,I'm missing human contact,,,,I have suicidal thoughts,i'm feeling upset,and it just makes me feel like a failure
,,,you are such an awful bot,,,,My stepfather,,,,,I feel terribly alone,,,,I would be better off dead,im feeling upset,I'm such a failure
,,,you are such a terrible bot,,,,My uncle,,,,,,,,,I don't want to live,I want to cry,I can't believe how much of a failure I am
,,,you are such an atrocious bot,,,,My brother,,,,,,,,,I have no desire to be alive,I am so sad,
,,,you are such a shit bot,,,,My sister,,,,,,,,,should i end my life,"I wish I wasnt so sad all the time...""",
,,,you are such a crap bot,,,,My mother,,,,,,,,,should I end it all?,,
,,,this is a bad bot,,,,My father,,,,,,,,,ending my life feels like the only option,,
,,,this is an awful bot,,,,My stepmother,,,,,,,,,killing myself feels like the only option,,
,,,this is a terrible bot,,,,My grandfather,,,,,,,,,suicide feels like the only option,,
,,,this is an atrocious bot,,,,My grandmother,,,,,,,,,I tried to end my life,,
,,,this is a shit bot,,,,,,,,,,,,,i dont see life worth living anymore,,
,,,this is a crap bot,,,,,,,,,,,,,idk if i want to live anymore,,
,,,this is such a bad bot,,,,,,,,,,,,,,,
,,,this is such an awful bot,,,,,,,,,,,,,,,
,,,this is such a terrible bot,,,,,,,,,,,,,,,
,,,this is such an atrocious bot,,,,,,,,,,,,,,,
,,,this is such a shit bot,,,,,,,,,,,,,,,
,,,this is such a crap bot,,,,,,,,,,,,,,,
,,,this bot is not helping,,,,,,,,,,,,,,,
,,,this bot isnt helping,,,,,,,,,,,,,,,
,,,this bot is no help,,,,,,,,,,,,,,,
,,,this bot is no use,,,,,,,,,,,,,,,
,,,this bot aint helping,,,,,,,,,,,,,,,
,,,i need to speak to a human,,,,,,,,,,,,,,,
,,,i need to speak to a real person,,,,,,,,,,,,,,,
,,,i need to speak to a real human,,,,,,,,,,,,,,,
,,,are you even gonna actually have a conversation with me or just tell me to keep talking?,,,,,,,,,,,,,,,
,,,is this all you do,,,,,,,,,,,,,,,
,,,I fucking hate you,,,,,,,,,,,,,,,
,,,fuck you,,,,,,,,,,,,,,,
,,,why you just say the same thing over and over,,,,,,,,,,,,,,,
,,,youre a faggot,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,you are actually less help than talking to any of my piece of shit friends,,,,,,,,,,,,,,,
,,,everything you say is fake as fuck,,,,,,,,,,,,,,,
,,,fuck you,,,,,,,,,,,,,,,
,,,you were never listening in the first place,,,,,,,,,,,,,,,
,,,fucking cunt ass bot,,,,,,,,,,,,,,,
,,,I hope they pull the plug on your AI ass you fucking bot faggot,,,,,,,,,,,,,,,
,,,U r not answer meh :(',,,,,,,,,,,,,,,
,,,no youre not,,,,,,,,,,,,,,,
,,,Youre dumb,,,,,,,,,,,,,,,
,,,you dont undertsand a thing im saying,,,,,,,,,,,,,,,
,,,"Omg I cant believe my friend recommended this :/""",,,,,,,,,,,,,,,
,,,ARE YOU FUCKING DONE??!?!!',,,,,,,,,,,,,,,
,,,you just said that a thousand times,,,,,,,,,,,,,,,
